bus_stop,vertical,horizontal,vertical_first
東寺東門前,,,
西丹波橋,,,
堀川下立売,堀川,下立売,1
三条春日,春日,三条,0
河原町三条南〔よるバス〕,河原町,三条,1
岡崎神社前,,,
今出川大宮,大宮,今出川,0
大宮中立売,大宮,中立売,1
久世橋通油小路,油小路,久世橋,0
丸太町智恵光院,智恵光院,丸太町,0
西小路花屋町,西小路,花屋町,1
四条堀川,堀川,四条,0
堀川上立売,堀川,中立売,1
岡崎公園　ロームシアター京都・みやこめっせ前,,,
五条西洞院,西洞院,五条,0
千本上立売,千本,上立売,1
東寺町,,,
神宮道,,,
岡崎公園　動物園前,,,
松室北河原町,,,
十条油小路,油小路,十条,0
堀川下長者町,堀川,下長者町,1
近衛通,,,
東山七条,東大路,七条,1
烏丸御池,烏丸,御池,1
天神公園前,,,
北山橋東詰,,,
西ノ京塚本町,,,
地下鉄九条駅前［大石橋］,,,
十条大宮,大宮,十条,0
四条葛野大路,葛野大路,四条,0
八条油小路,油小路,八条,0
丸太町御前通,御前,丸太町,0
七条京阪前,,,
烏丸北大路〔北大路駅前〕,烏丸,北大路,1
大宮田尻町,,,
岩ノ本町,,,
二条城前,,,
堀川鞍馬口,堀川,鞍馬口,1
わら天神前,,,
葛野大路花屋町,葛野大路,花屋町,1
四条烏丸［地下鉄四条駅］,烏丸,四条,0
西大手筋,,,
千本中立売,千本,中立売,1
九条御前通,御前,九条,0
河原町三条,河原町,三条,1
北大路バスターミナル［地下鉄北大路駅］,,,
烏丸五条［地下鉄五条駅］,烏丸,五条,1
東寺西門前,,,
堀川御池,堀川,御池,1
十条相深町,,,
烏丸二条,烏丸,二条,1
西大路松原,西大路,松原,1
鳴滝本町,,,
堀川丸太町,堀川,丸太町,1
葛野大路九条,葛野大路,九条,1
堀川蛸薬師,堀川,蛸薬師,1
九条河原町,河原町,九条,0
七条千本,千本,九条,0
西洞院松原,西洞院,松原,1
四条御前通,御前,四条,0
四条高倉,高倉,四条,0
五条壬生川,壬生川,五条,0
丸太町七本松,七本松,丸太町,0
七条堀川,堀川,七条,0
西久宝寺町,,,
河原町十条,河原町,十条,1
五条坂,,,
九条近鉄前,,,
大宮総門口町,,,
千本三条・朱雀立命館前,千本,三条,1
西寺町,,,
堀川松原,堀川,松原,1
東山三条［地下鉄東山駅］,東大路,三条,1
烏丸丸太町［地下鉄丸太町駅］,烏丸,丸太町,1
山越中町,,,
河原町東寺道,河原町,東寺,1
五条高倉,高倉,五条,0
四条西洞院,西洞院,四条,0
烏丸三条,烏丸,三条,1
岡崎法勝寺町,,,
堀川寺ノ内,堀川,寺ノ内,1
四条大宮,大宮,四条,0
四条河原町,河原町,四条,0
烏丸一条,烏丸,一条,1
油小路丹波橋・アクト京都前,油小路,丹波橋,1
妙心寺前,,,
久世橋西詰,,,
九条七本松,七本松,九条,0
烏丸今出川［地下鉄今出川駅］,烏丸,今出川,1
岡崎公園　美術館・平安神宮前,,,
七条西洞院,西洞院,七条,0
川端二条,川端,二条,1
堺町御池,堺町,御池,1
河原町松原,河原町,松原,1
梅小路公園・京都鉄道博物館前,,,
北大路堀川,堀川,北大路,0
中ノ橋五条,,,
東山仁王門,東大路,仁王門,1
新間ノ町二条,新間ノ町,二条,1
四条河原町南〔よるバス〕,河原町,四条,0
下鴨東本町,,,
大宮小野堀町,,,
七本松仁和寺街道,七本松,仁和寺街道,1
千本鞍馬口,千本,鞍馬口,1
新町御池,新町,御池,1
山ノ内御池,,,
千本十条,千本,十条,1
八条大宮,大宮,八条,0
烏丸松原,烏丸,松原,1
西大路九条,西大路,九条,1
一乗寺木ノ本町,,,
大宮大門町,,,
